odata.type,ID,Position,ParentID,Type,Key,Title,Description,MapYear,Datatype,Unit,Decimals,Default,PresentationType
Cbs.OData.Topic,10,7.0,8.0,Topic,Vrouwen_7,Vrouwen,,,Long,aantal,0.0,Impossible,Absolute
Cbs.OData.TopicGroup,11,,6.0,TopicGroup,,Leeftijdsgroepen,,,,,,,
Cbs.OData.Topic,12,8.0,11.0,Topic,k_0Tot15Jaar_8,0 tot 15 jaar,Aantal inwoners dat op 1 januari 0 tot 15 jaar oud is.,,Long,aantal,0.0,Impossible,Absolute
Cbs.OData.Topic,13,9.0,11.0,Topic,k_15Tot25Jaar_9,15 tot 25 jaar,Aantal inwoners dat op 1 januari 15 tot 25 jaar oud is.,,Long,aantal,0.0,Impossible,Absolute
Cbs.OData.Topic,14,10.0,11.0,Topic,k_25Tot45Jaar_10,25 tot 45 jaar,Aantal inwoners dat op 1 januari 25 tot 45 jaar oud is.,,Long,aantal,0.0,Impossible,Absolute
Cbs.OData.Topic,15,11.0,11.0,Topic,k_45Tot65Jaar_11,45 tot 65 jaar,Aantal inwoners dat op 1 januari 45 tot 65 jaar oud is.,,Long,aantal,0.0,Impossible,Absolute
Cbs.OData.Topic,16,12.0,11.0,Topic,k_65JaarOfOuder_12,65 jaar of ouder,Aantal inwoners dat op 1 januari 65 jaar of ouder is.,,Long,aantal,0.0,Impossible,Absolute
Cbs.OData.TopicGroup,17,,6.0,TopicGroup,,Burgerlijke staat,,,,,,,
Cbs.OData.Topic,18,13.0,17.0,Topic,Ongehuwd_13,Ongehuwd,Het aantal inwoners dat op 1 januari ongehuwd is. De burgerlijke staat ongehuwd geeft aan dat een persoon nog nooit een huwelijk heeft gesloten of een geregistreerd partnerschap is aangegaan.,,Long,aantal,0.0,Impossible,Absolute
Cbs.OData.Topic,19,14.0,17.0,Topic,Gehuwd_14,Gehuwd,"Het aantal inwoners dat op 1 januari gehuwd is. De burgerlijke staat gehuwd ontstaat na sluiting van een huwelijk of het aangaan van een geregistreerd partnerschap. Tot de gehuwden worden ook personen gerekend die gescheiden zijn van tafel en bed, want zij blijven formeel gehuwd.",,Long,aantal,0.0,Impossible,Absolute
Cbs.OData.Topic,20,15.0,17.0,Topic,Gescheiden_15,Gescheiden,Het aantal inwoners dat op 1 januari gescheiden is. De burgerlijke staat gescheiden ontstaat na ontbinding van een huwelijk door echtscheiding of na ontbinding van een geregistreerd partnerschap anders dan door het overlijden van de partner. Personen die gescheiden zijn van tafel en bed worden tot de gehuwden gerekend.,,Long,aantal,0.0,Impossible,Absolute
Cbs.OData.Topic,21,16.0,17.0,Topic,Verweduwd_16,Verweduwd,Het aantal inwoners dat op 1 januari verweduwd is. De burgerlijke staat verweduwd ontstaat na ontbinding van een huwelijk of geregistreerd partnerschap door overlijden van de partner.,,Long,aantal,0.0,Impossible,Absolute
Cbs.OData.TopicGroup,22,,6.0,TopicGroup,,Bevolking naar herkomst,"De bevolking van Nederland op 1 januari.

Bevolking:
De inwoners van Nederland.
In de bevolkingsaantallen zijn uitsluitend personen begrepen die zijn opgenomen in het bevolkingsregister van een Nederlandse gemeente. 
In principe wordt iedereen die voor onbepaalde tijd in Nederland woont, opgenomen in het bevolkingsregister van de woongemeente. Personen die tot de bevolking van Nederland behoren, maar voor wie geen vaste woonplaats valt aan te wijzen, zijn opgenomen in het bevolkingsregister van de gemeente 's-Gravenhage.
In de bevolkingsregisters zijn niet opgenomen de in Nederland wonende personen waarvoor uitzonderingsregels gelden met betrekking tot opneming in de bevolkingsregisters (bijvoorbeeld diplomaten en NAVO militairen) en personen die niet legaal in Nederland verblijven.

Herkomst:
Kenmerk dat weergeeft in welk land iemand geboren is of waar diens ouders geboren zijn.
De herkomst van personen die in het buitenland zijn geboren wordt bepaald door hun eigen geboorteland. Bij personen die in Nederland geboren zijn, wordt de herkomst bepaald door het geboorteland van de ouders. 
Wanneer beide ouders in het buitenland zijn geboren, is het geboorteland van de moeder leidend in het bepalen van de herkomst. De geboortegegevens van de moeder zijn vaker bekend dan die van de vader. Wanneer de moeder in Nederland is geboren of het geboorteland van de moeder onbekend is, dan wordt het geboorteland van de vader gebruikt.
",,,,,,
Cbs.OData.TopicGroup,23,,22.0,TopicGroup,,Herkomstland,,,,,,,
Cbs.OData.Topic,24,17.0,23.0,Topic,Nederland_17,Nederland,,,Long,aantal,0.0,Impossible,Absolute
Cbs.OData.Topic,25,18.0,23.0,Topic,EuropaExclusiefNederland_18,Europa (exclusief Nederland) ,"Herkomst Europa (exclusief Nederland). De landen Armenië, Azerbeidzjan, Georgië, Kazachstan, Kirgizië, Oezbekistan, Tadzjikistan, Turkmenistan en Turkije vallen binnen deze indeling onder Azië.",,Long,aantal,0.0,Impossible,Absolute
Cbs.OData.Topic,26,19.0,23.0,Topic,BuitenEuropa_19,Buiten Europa ,Totaal herkomst buiten Europa,,Long,aantal,0.0,Impossible,Absolute
Cbs.OData.TopicGroup,27,,22.0,TopicGroup,,Geboren in Nederland,,,,,,,
Cbs.OData.Topic,28,20.0,27.0,Topic,Nederland_20,Nederland,,,Long,aantal,0.0,Impossible,Absolute
Cbs.OData.Topic,29,21.0,27.0,Topic,EuropaExclusiefNederland_21,Europa (exclusief Nederland) ,"Geboren in Nederland, herkomst Europa (exclusief Nederland). De landen Armenië, Azerbeidzjan, Georgië, Kazachstan, Kirgizië, Oezbekistan, Tadzjikistan, Turkmenistan en Turkije vallen binnen deze indeling onder Azië",,Long,aantal,0.0,Impossible,Absolute
Cbs.OData.Topic,30,22.0,27.0,Topic,BuitenEuropa_22,Buiten Europa ,"Geboren in Nederland, herkomst buiten Europa.",,Long,aantal,0.0,Impossible,Absolute
Cbs.OData.TopicGroup,31,,22.0,TopicGroup,,Geboren buiten Nederland,,,,,,,
Cbs.OData.Topic,32,23.0,31.0,Topic,EuropaExclusiefNederland_23,Europa (exclusief Nederland),"Geboren buiten Nederland. Herkomst Europa (exclusief Nederland). De landen Armenië, Azerbeidzjan, Georgië, Kazachstan, Kirgizië, Oezbekistan, Tadzjikistan, Turkmenistan en Turkije vallen binnen deze indeling onder Azië.",,Long,aantal,0.0,Impossible,Absolute
Cbs.OData.Topic,33,24.0,31.0,Topic,BuitenEuropa_24,Buiten Europa,"Geboren buiten Nederland, herkomst buiten Europa.",,Long,aantal,0.0,Impossible,Absolute
Cbs.OData.TopicGroup,34,,6.0,TopicGroup,,Geboorte en sterfte,,,,,,,
Cbs.OData.Topic,35,25.0,34.0,Topic,GeboorteTotaal_25,Geboorte totaal,"Het aantal levendgeborenen van 1 januari tot en met 31 december van het betreffende jaar. Levendgeborenen zijn kinderen die na geboorte enig teken van leven hebben vertoond, ongeacht de zwangerschapsduur.",,Long,aantal,0.0,Impossible,Absolute
Cbs.OData.Topic,36,26.0,34.0,Topic,GeboorteRelatief_26,Geboorte relatief,"Het aantal levendgeborenen van 1 januari tot en met 31 december, per 1 000 inwoners op 1 januari van het betreffende jaar.
Het relatieve aantal geboorten kan hoger uitvallen dan verwacht op basis van het inwonertal. Het relatieve cijfer betreft namelijk het aantal geboorten gedurende het jaar ten opzichte van het aantal inwoners op 1 januari. In nieuwbouwwijken kan het aantal inwoners sterk groeien in een jaar. Zo kunnen er in 1 jaar 10 kinderen geboren worden in een wijk waarin op 1 januari slechts 10 inwoners wonen, maar aan het eind van het jaar bijvoorbeeld 200 inwoners. Waarden voor wijken en buurten met minder dan 10 inwoners en een aantal geboorten ongelijk aan nul zijn op onbekend gezet.",,Long,per 1 000 inwoners,0.0,Impossible,Relative
Cbs.OData.Topic,37,27.0,34.0,Topic,SterfteTotaal_27,Sterfte totaal,Alle overledenen van 1 januari tot en met 31 december van het betreffende jaar waarbij een bevoegde arts een overlijdensakte heeft ondertekend.,,Long,aantal,0.0,Impossible,Absolute
Cbs.OData.Topic,38,28.0,34.0,Topic,SterfteRelatief_28,Sterfte relatief,"Het aantal overledenen van 1 januari tot en met 31 december, per 1 000 inwoners op 1 januari van het betreffende jaar.
Het relatieve aantal overledenen kan hoger uitvallen dan verwacht op basis van het inwonertal. Het relatieve cijfer betreft namelijk het aantal overledenen gedurende het jaar ten opzichte van het aantal inwoners op 1 januari. In een buurt met een verpleeghuis kunnen op 1 januari 100 mensen wonen, maar door overlijdensgevallen komen er steeds nieuwe inwoners (bewoners van het verpleeghuis). Zo kan het aantal overlijdensgevallen ook 100 zijn, terwijl er inmiddels al vele mensen in die buurt (of dat verpleeghuis) hebben gewoond. Waarden voor wijken en buurten met minder dan 10 inwoners en een aantal sterften ongelijk aan nul zijn op onbekend gezet.",,Long,per 1 000 inwoners,0.0,Impossible,Relative
Cbs.OData.TopicGroup,39,,6.0,TopicGroup,,Particuliere huishoudens,"Betreft de huishoudens op 1 januari. 
Particuliere huishoudens bestaan uit één of meer personen die alleen of samen in een woonruimte zijn gehuisvest en zelf in hun dagelijks onderhoud voorzien. Naast eenpersoonshuishoudens onderscheiden we meerpersoonshuishoudens (niet-gehuwde paren, niet-gehuwde paren met kinderen, echtparen, echtparen met kinderen, eenouderhuishoudens en overige huishoudens). De institutionele huishoudens worden hiertoe niet gerekend.",,,,,,
Cbs.OData.Topic,40,29.0,39.0,Topic,HuishoudensTotaal_29,Huishoudens totaal,Totaal particuliere huishoudens.,,Long,aantal,0.0,Impossible,Absolute
Cbs.OData.Topic,41,30.0,39.0,Topic,Eenpersoonshuishoudens_30,Eenpersoonshuishoudens,Een particulier huishouden bestaande uit één persoon.,,Long,aantal,0.0,Impossible,Absolute
Cbs.OData.Topic,42,31.0,39.0,Topic,HuishoudensZonderKinderen_31,Huishoudens zonder kinderen,"Meerpersoonshuishoudens zonder kinderen bestaan uit niet-gehuwde paren zonder kinderen, echtparen zonder kinderen en overige huishoudens.",,Long,aantal,0.0,Impossible,Absolute
Cbs.OData.Topic,43,32.0,39.0,Topic,HuishoudensMetKinderen_32,Huishoudens met kinderen,"Meerpersoonshuishoudens met kinderen bestaan uit niet-gehuwde paren met kinderen, echtparen met kinderen en eenouderhuishoudens.",,Long,aantal,0.0,Impossible,Absolute
Cbs.OData.Topic,44,33.0,39.0,Topic,GemiddeldeHuishoudensgrootte_33,Gemiddelde huishoudensgrootte,Dit gemiddelde is berekend als het aantal in particuliere huishoudens levende personen gedeeld door het aantal particuliere huishoudens.,,Double,aantal,1.0,Impossible,Absolute
Cbs.OData.Topic,45,34.0,6.0,Topic,Bevolkingsdichtheid_34,Bevolkingsdichtheid,"Het (niet afgeronde) aantal inwoners per km² land is bepaald door het (niet afgeronde) aantal inwoners op 1 januari te delen door de (niet afgeronde) landoppervlakte. 
De bevolkingsdichtheid is opgenomen indien er 10 of meer inwoners in de buurt voorkomen.

",,Long,aantal inwoners per km²,0.0,Impossible,Relative
Cbs.OData.TopicGroup,46,,,TopicGroup,,Wonen en vastgoed,,,,,,,
Cbs.OData.Topic,47,35.0,46.0,Topic,Woningvoorraad_35,Woningvoorraad,Het totale aantal woningen op 1 januari van het desbetreffende jaar. Een woning is een verblijfsobject met minimaal een woonfunctie en eventueel één of meer andere gebruiksfuncties.,,Long,aantal,0.0,Impossible,Absolute
Cbs.OData.Topic,48,36.0,46.0,Topic,NieuwbouwWoningen_36,Nieuwbouw woningen ,Het totale aantal woningen door nieuwbouw aan de voorraad toegevoegd in het desbetreffende jaar. Alle verblijfsobjecten met minimaal een woonfunctie en eventueel een of meer andere gebruiksfuncties worden als woning aangemerkt.,,Long,aantal,0.0,Impossible,Absolute
Cbs.OData.Topic,49,37.0,46.0,Topic,NietWoningvoorraad_37,Niet-woningvoorraad,"Het totale aantal niet-woningen op 1 januari van het desbetreffende jaar. Een niet-woning heeft geen woonfunctie, maar kan wel meerdere andere gebruiksfuncties hebben.",,Long,aantal,0.0,Impossible,Absolute
Cbs.OData.Topic,50,38.0,46.0,Topic,NieuwbouwNietWoningen_38,Nieuwbouw niet-woningen,"Het totale aantal niet-woningen door nieuwbouw aan de voorraad toegevoegd in het desbetreffende jaar. Een niet-woning heeft geen woonfunctie, maar kan wel meerdere andere gebruiksfuncties hebben.",,Long,aantal,0.0,Impossible,Absolute
Cbs.OData.Topic,51,39.0,46.0,Topic,GemiddeldeWOZWaardeVanWoningen_39,Gemiddelde WOZ-waarde van woningen,"Voor de bepaling van de gemiddelde WOZ-waarde van woningen wordt alleen gebruik gemaakt van BAG-objecten met een woonfunctie waarvoor een WOZ-waarde bekend is en die tussen de 10 duizend en de 5 miljoen euro ligt. 

Er wordt geen gemiddelde WOZ-waarde bepaald voor een regio als:
-	de woningvoorraad kleiner is dan 20 woningen
-	er voor minder dan 20 woningen een WOZ-waarde bekend is
-	er voor minder dan 85 procent van de woningen een WOZ-waarde bekend is.

De gemiddelde woningwaarde wordt bepaald met de waardepeildatum van voorgaand jaar, bijv:
- 2025: waardepeildatum 1 januari 2024

",,Long,x 1 000 euro,0.0,Impossible,Relative
Cbs.OData.TopicGroup,52,,46.0,TopicGroup,,Woningen naar type,"Er worden twee typen woningen onderscheiden, eengezins en meergezins. Een woning heeft het type meergezins wanneer het samen met andere woningen of (bedrijfs)ruimten een geheel pand vormt. Hieronder vallen flats, galerij-, portiek-, beneden- en bovenwoningen, appartementen en woningen boven bedrijfsruimten, voorzover deze zijn voorzien van een buiten de bedrijfsruimte gelegen toegangsdeur. Alle overige woningen hebben het type eengezins. Het percentage eengezins met onbekend verder type wordt niet weergegeven. Daardoor kan het voorkomen dat de onderliggende eengezins categorieën niet optellen tot de totale eengezins categorie.",,,,,,
Cbs.OData.Topic,53,40.0,52.0,Topic,PercentageEengezinswoning_40,Percentage eengezinswoning,"Peildatum: 1 januari van het desbetreffende jaar.
Het aantal eengezinswoningen is vermeld als percentage van de totale woningvoorraad en wordt alleen vermeld bij minimaal 20 woningen.
Eengezinswoning: Elke woning die tevens een geheel pand vormt. Hieronder vallen vrijstaande woningen, aaneengebouwde woningen, zoals twee onder één kap gebouwde hele huizen, boerderijen met woningen en voorts alle rijenhuizen.
",,Long,%,0.0,Impossible,Relative
Cbs.OData.Topic,54,41.0,52.0,Topic,PercentageTussenwoningEengezins_41,Percentage tussenwoning (eengezins),"Peildatum: 1 januari van het desbetreffende jaar.
Het aantal tussenwoningen is vermeld als afgerond geheel percentage van de totale woningvoorraad en wordt alleen vermeld bij minimaal 20 woningen.
Tussenwoningen zijn woningen gelegen in een rij met drie of meer aaneengesloten panden die aan twee of meer zijden verbonden zijn met de andere panden in de rij.
",,Long,%,0.0,Impossible,Relative
Cbs.OData.Topic,55,42.0,52.0,Topic,PercentageHoekwoningEengezins_42,Percentage hoekwoning (eengezins),"Peildatum: 1 januari van het desbetreffende jaar.
Het aantal hoekwoningen is vermeld als afgerond geheel percentage van de totale woningvoorraad en wordt alleen vermeld bij minimaal 20 woningen.
Hoekwoningen zijn woningen in een rij van drie of meer aaneengesloten panden gelegen op de hoek en dus met één ander pand een zijde delen.
",,Long,%,0.0,Impossible,Relative
Cbs.OData.Topic,56,43.0,52.0,Topic,PercentageTweeOnderEenKapWoningEe_43,Percentage twee-onder-één-kap-woning (ee,"Peildatum: 1 januari van het desbetreffende jaar.
Het aantal twee-onder-een-kapwoningen is vermeld als afgerond geheel percentage van de totale woningvoorraad en wordt alleen vermeld bij minimaal 20 woningen.
Twee-onder-één-kapwoningen zijn twee woningen (panden) die één zijde met elkaar delen.
",,Long,%,0.0,Impossible,Relative
Cbs.OData.Topic,57,44.0,52.0,Topic,PercentageVrijstaandeWoningEengezins_44,Percentage vrijstaande woning (eengezins,"Peildatum: 1 januari van het desbetreffende jaar.
Het aantal vrijstaande woningen is vermeld als afgerond geheel percentage van de totale woningvoorraad en wordt alleen vermeld bij minimaal 20 woningen.
Vrijstaande woningen zijn woningen die niet verbonden zijn met andere panden.
",,Long,%,0.0,Impossible,Relative
Cbs.OData.Topic,58,45.0,52.0,Topic,PercentageMeergezinswoning_45,Percentage meergezinswoning,"Peildatum: 1 januari van het desbetreffende jaar.
Het aantal meergezinswoningen is vermeld als percentage van de totale woningvoorraad en wordt alleen vermeld bij minimaal 20 woningen.
Meergezinswoning : Elke woning die samen met andere woonruimten c.q. bedrijfsruimten een geheel pand vormt. Hieronder vallen flats, galerij-, portiek-, beneden- en bovenwoningen, appartementen en woningen boven bedrijfsruimten, voor zover deze zijn voorzien van een buiten de bedrijfsruimte gelegen toegangsdeur.

",,Long,%,0.0,Impossible,Relative
Cbs.OData.Topic,59,46.0,46.0,Topic,OnbewoondeWoningen_46,Onbewoonde woningen,"Peildatum: 1 januari van het desbetreffende jaar.
Het aantal leegstaande woningen is vermeld als percentage van de totale woningvoorraad en wordt alleen vermeld bij minimaal 20 woningen.
Niet-bewoonde woningen: Woningen waar op de peildatum 1 januari niemand stond ingeschreven in de Basisregistratie Personen (BRP).

",,Long,%,0.0,Impossible,Relative
Cbs.OData.TopicGroup,60,,46.0,TopicGroup,,Woningen naar eigendom,Informatie over huur- en koopwoningen wordt samengesteld uit een koppeling tussen verschillende bronnen. Onbekend eigendom wordt niet weergegeven. Daardoor kan het voorkomen dat de categorieën niet optellen tot 100 procent. ,,,,,,
Cbs.OData.Topic,61,47.0,60.0,Topic,Koopwoningen_47,Koopwoningen,"Woningen die eigendom zijn van de (toekomstige) bewoner(s) of in gebruik als tweede woning. 

Peildatum: 1 januari van het desbetreffende jaar.
Het aantal is vermeld als percentage van het totaal aantal woningen en vermeld bij 20 woningen of meer per buurt en wanneer het aandeel woningen met eigendom onbekend 50 procent of minder bedroeg.

",,Long,%,0.0,Impossible,Relative
Cbs.OData.TopicGroup,62,,60.0,TopicGroup,,Huurwoningen,"Woningen die niet bewoond worden door de eigenaar van de woning. Bij woningen waar geen bewoner geregistreerd is, gaat het om woningen waarvan het aannemelijk is dat de woning bestemd is voor de huurmarkt.",,,,,,
Cbs.OData.Topic,63,48.0,62.0,Topic,HuurwoningenTotaal_48,Huurwoningen totaal,"Peildatum: 1 januari van het desbetreffende jaar.
Het aantal is vermeld als percentage van het totaal aantal woningen en vermeld bij 20 woningen of meer per buurt en wanneer het aandeel woningen met eigendom onbekend 50 procent of minder bedroeg.
",,Long,%,0.0,Impossible,Relative
Cbs.OData.Topic,64,49.0,62.0,Topic,InBezitWoningcorporatie_49,In bezit woningcorporatie,"Huurwoningen in eigendom van 'toegelaten instellingen volkshuisvesting'. Het betreft het aantal huurwoningen waarvan is vastgesteld dat de eigenaar een toegelaten instelling is. Het betreft niet het aantal sociale huurwoningen, omdat er alleen is vastgesteld wie de eigenaar is en er niet is gekeken naar de hoogte van de huurprijs.
Toegelaten instellingen: woningbouwvereniging, woningstichting, woningcorporatie. 
Sociale huurwoningen: woningen met een huur onder de liberalisatiegrens.

Peildatum: 1 januari van het desbetreffende jaar.
Het aantal is vermeld als percentage van het totaal aantal woningen en vermeld bij 20 woningen of meer per buurt en wanneer het aandeel woningen met eigendom onbekend 50 procent of minder bedroeg.

",,Long,%,0.0,Impossible,Relative
Cbs.OData.Topic,65,50.0,62.0,Topic,InBezitOverigeVerhuurders_50,In bezit overige verhuurders,"Een huurwoning in eigendom van onder andere bedrijven, particulieren en institutionele beleggers. Huurwoningen waarvan het eigendom wel kon worden vastgesteld maar de eigenaar niet vallen hier ook onder. 
Bedrijven: alle instellingen met een bedrijfsmatig karakter zoals bv's en nv's, zelfstandige ondernemers, makelaars en vastgoedhandelsmaatschappijen.
Particulieren: alle natuurlijke personen.
Institutionele beleggers: pensioenfondsen, beurs-, beleggings- en verzekeringsmaatschappijen.

Peildatum: 1 januari van het desbetreffende jaar.
Het aantal is vermeld als percentage van het totaal aantal woningen en vermeld bij 20 woningen of meer per buurt en wanneer het aandeel woningen met eigendom onbekend 50 procent of minder bedroeg.

",,Long,%,0.0,Impossible,Relative
Cbs.OData.TopicGroup,66,,46.0,TopicGroup,,Woningen naar bouwjaar,"De aanduiding van het bouwjaar van een pand, waarin een woning zich bevindt. Oorspronkelijk als het pand bouwkundig gereed is of wordt opgeleverd. Latere wijziging aan een pand leidt niet tot wijziging van het bouwjaar. Bij een verblijfobject dat in meerdere panden is gelegen, wordt het oudste bouwjaar genomen.
De bouwjaarklasse heeft hier twee waarden: 
1) in de afgelopen tien jaar gebouwd;
2)  meer dan tien jaar geleden gebouwd.
Onbekende bouwjaren worden niet weergegeven. Daardoor kan het voorkomen dat de categorieën niet optellen tot 100 procent.
",,,,,,
Cbs.OData.Topic,67,51.0,66.0,Topic,BouwjaarMeerDanTienJaarGeleden_51,Bouwjaar meer dan tien jaar geleden,"Peildatum: 1 januari van het desbetreffende jaar.
Het aantal woningen met bouwjaar meer dan tien jaar geleden, uitgedrukt in hele procenten van het totaal aantal woningen. Het percentage is vermeld bij 20 woningen of meer per buurt.
",,Long,%,0.0,Impossible,Relative
Cbs.OData.Topic,68,52.0,66.0,Topic,BouwjaarAfgelopenTienJaar_52,Bouwjaar afgelopen tien jaar,"Peildatum: 1 januari van het desbetreffende jaar.
Het aantal woningen met bouwjaar tien of minder jaar geleden, uitgedrukt in hele procenten van het totaal aantal woningen. Het percentage is vermeld bij 20 woningen of meer per buurt.
",,Long,%,0.0,Impossible,Relative
Cbs.OData.TopicGroup,69,,,TopicGroup,,Energie,,,,,,,
Cbs.OData.TopicGroup,70,,69.0,TopicGroup,,Gemiddelde elektriciteitslevering,"De gemiddelde jaarlevering van elektriciteit op individuele aansluitingen van particuliere woningen op het openbare elektriciteitsnet, zoals berekend vanuit de aansluitingenregisters van de netbedrijven. Collectieve elektriciteitsleveringen aan bijvoorbeeld liftinstallaties of hal-/galerijverlichting zijn niet meegeteld bij de berekening. 

De cijfers zijn afgerond op tientallen en vermeld bij zes of meer (bewoonde) woningen per woningtype of type eigendom.
",,,,,,
Cbs.OData.Topic,71,53.0,70.0,Topic,GemiddeldeElektriciteitsleveringTotaal_53,Gemiddelde elektriciteitslevering totaal,De gemiddelde elektriciteitslevering voor alle woningtypen samen.,,Long,kWh,0.0,Impossible,Absolute
